feature_name,feature_class,prim_lat_dec,prim_long_dec
Elizabeth Peak,Summit,38.0629635,-120.2474397
Ellis Creek,Stream,39.014351,-120.3032487
Ellis Mountain,Summit,36.5441273,-119.0217604
Elm View,Populated Place,36.5474496,-119.7912504
Emerald Lake,Lake,37.7255303,-119.1650773
Emma Lake,Lake,38.2809879,-119.4828996
Mount Ericsson,Summit,36.6971529,-118.4144644
Eshom Creek,Stream,36.5949467,-118.916492
Eshom Valley,Valley,36.597174,-118.9491441
Lake Estelle,Lake,39.163668,-120.2499654
Evans Creek,Stream,36.8021659,-118.8017698
Fairmead,Populated Place,37.0763341,-120.1929487
Fancher Creek,Stream,36.7563392,-119.5670777
Fay Canyon,Valley,38.8719009,-119.8021009
Fern Lake,Lake,37.45609,-119.0420747
Fern Lake,Lake,39.0337801,-120.2591201
Fernandez Lakes,Lake,37.5825139,-119.3748475
Ferris Canyon,Valley,38.4420819,-119.2173073
Finger Lake,Lake,37.0862391,-118.4601807
Finger Lake,Lake,37.949071,-119.294701
Finger Peaks,Summit,38.0871973,-119.4072716
First Creek,Stream,37.750763,-120.3293593
Fish Creek,Stream,36.788283,-119.4173488
Fish Valley Peak,Summit,38.4347216,-119.5701977
Fisher Lake,Lake,39.2845938,-120.4794343
Five Lakes,Lake,39.1747904,-120.2525866
Five Lakes Creek,Stream,39.0807392,-120.3482519
Flagpole Point,Summit,38.4590993,-120.1107961
Flat Lake,Lake,37.5747758,-119.361401
Fleming Creek,Stream,37.7118752,-120.3565819
Floto Lake,Lake,37.6371224,-120.4877179
Fly Creek,Stream,36.5271707,-119.027605
Fly Valley,Basin,38.430467,-119.6112827
Fontanillis Lake,Lake,38.9205503,-120.1532133
Footman Canyon,Valley,36.7794857,-118.7967155
Fordyce Lake,Reservoir,39.3864015,-120.4804434
Forsyth Peak,Summit,38.1575127,-119.5809295
Fortynine Gap,Gap,37.6265999,-120.3079678
Four Forks Creek,Stream,37.40488,-119.12961
Four Mile Canyon,Valley,38.4446262,-119.5943649
Four-Q Lakes,Lake,38.9431664,-120.2030364
Fox Canyon,Valley,36.8593243,-119.0148974
Fox Lake,Lake,38.9934177,-120.2277749
Fox Spring,Spring,36.7704853,-119.0804593
Fredericksburg Canyon,Valley,38.8324879,-119.7889228
Freeze-Out Spring,Spring,37.74585,-120.4266108
French Creek,Stream,37.9454809,-120.539922
French Pit,Basin,37.6599323,-120.4604732
Fresno Slough,Lake,36.7193199,-120.3376373
Friant,Populated Place,36.9877274,-119.7118118
Frog Lake,Lake,37.4566472,-119.0612383
Fryingpan Canyon,Valley,38.4094151,-119.2247525
Fryingpan Creek,Stream,38.4088056,-119.1707071
Fuller Buttes,Summit,37.4149039,-119.2869007
Furnace Creek,Stream,37.5888205,-118.0053768
Gale Peak,Summit,37.5679873,-119.3870782
Gallats Lake,Lake,36.5960486,-118.4750938
Gallup Creek,Stream,37.7093753,-120.5185313
Gardiner Creek,Stream,36.8118822,-118.5478766
Gardisky Lake,Lake,37.9563021,-119.251381
Garnet Point,Summit,37.4875857,-120.1019382
Gasburg Creek,Stream,37.6654878,-120.4501952
Gaylor Peak,Summit,37.9190971,-119.2655456
Lake Genevieve,Lake,38.996969,-120.1611683
Mount Genevra,Summit,36.6833075,-118.4343247
Geraldine Lakes,Lake,36.9090042,-118.8816039
Gertrude Lake,Lake,38.884457,-120.2010768
Giles Pond,Lake,37.4722495,-120.2391258
Girard Creek,Stream,38.724631,-120.2371354
Givins Gulch,Valley,37.4907458,-120.2178645
Glacier Canyon,Valley,37.9200123,-119.2492604
Glacier Creek,Stream,36.7996601,-118.5464876
Glacier Lake,Lake,36.5955887,-118.5343626
Glacier Monument,Summit,36.7982336,-118.5056305
Glen Aulin,Basin,37.91159,-119.4246052
Glencoe,Populated Place,38.3540801,-120.5849283
Goat Hill,Summit,36.6175636,-119.0550121
Goat Mountain,Summit,36.8694694,-118.5742113
Golden Canyon,Valley,38.4738852,-119.6768256
Goldstein Peak,Summit,36.6289553,-119.15871
Goodwin Creek,Stream,37.6535436,-120.4599176
Gooseberry Creek,Stream,38.1890833,-119.9685163
Gorge of Despair,Valley,36.9090627,-118.7782114
Granite Basin,Basin,36.8541056,-118.6081559
Granite Creek,Stream,36.7907727,-118.6020437
Granite Gorge,Valley,36.9686897,-118.9921988
Granite Hill,Summit,36.6877223,-119.3609432
Granite Lake,Lake,36.863113,-118.6205568
Granite Lakes,Lake,37.9259711,-119.2792409
Granite Peak,Summit,39.4899163,-120.0425341
Grapevine Creek,Stream,36.5671708,-119.0862194
Grapevine Creek,Stream,36.5443934,-119.1259426
Grapevine Creek,Stream,37.8854813,-120.1468536
Grapevine Peak,Summit,36.5630875,-119.1219365
Gravesboro,Populated Place,36.7730053,-119.4115151
Graveyard Creek,Stream,37.7221527,-120.3735269
Grayhorse Creek,Stream,39.0879613,-120.3654749
Grayhorse Valley,Valley,39.0878787,-120.3652185
Greaser Gulch,Valley,37.4204171,-120.2578309
Green Creek,Stream,38.4577365,-119.1663843
Green Mountain,Summit,36.9709868,-119.4083243
Green Mountain,Summit,37.2641064,-119.990709
Green Spring,Spring,36.5433564,-119.1061727
Green Treble Lake,Lake,37.9530858,-119.2907062
Greenstone Lake,Lake,37.9797201,-119.2905739
Griswold Creek,Stream,38.177975,-120.3374176
Grizzly Gulch,Valley,37.8135226,-120.3073564
Grouse Lake,Lake,36.8582714,-118.5895766
Grouse Lakes,Lake,38.9612595,-120.1352468
Grouse Mountain,Summit,37.3062302,-118.5893943
Grouse Mountain,Summit,38.162026,-119.4898759
Grouse Valley,Basin,38.4979667,-120.066021
Grub Gulch,Basin,37.3238329,-119.7715459
Grub Gulch,Valley,38.1193516,-120.2388022
Guadalupe Creek,Stream,37.4541053,-120.0212859
Guadalupe Valley,Basin,37.4466056,-120.011563
Guide Peak,Summit,39.0378123,-120.3130244
Hacker Mountain,Summit,36.915084,-119.2945559
Half Moon Lake,Lake,38.4904128,-119.777329
Half Moon Lake,Lake,38.8964683,-120.1367229
Hamlin Creek,Stream,39.6124029,-120.4010426
Hammils Mountain,Summit,37.8756704,-120.5575802
Happy Gap,Gap,36.8507755,-118.7520467
Harding Point,Summit,39.6093241,-120.3331179
Harrison Pass,Gap,36.6995987,-118.4038042
Harvey Creek,Stream,38.3196399,-119.3076582
Haslett Basin,Basin,36.9680033,-119.2103978
Hatch Creek,Stream,37.7499297,-120.3429708
Haypress Lake,Lake,38.3068575,-119.7643497
Haystack Mountain,Summit,37.3850587,-120.3280341
Haystack Peak,Summit,38.1058046,-119.6846469
Hazel Creek,Stream,38.7337928,-120.536314
Hazel Dell Gulch,Valley,38.2972961,-120.5578904
Headley Peak,Summit,37.6878721,-118.2865536
Heath Spring,Spring,39.2496266,-120.4060353
Heavenly Valley,Basin,38.9237964,-119.9171247
Heavenly Valley Creek,Stream,38.9210188,-119.9724036
Hedrick Meadow,Lake,37.4301867,-119.0702484
Heiser Lake,Lake,38.4945991,-119.9063962
Hells Delight Creek,Stream,38.7121311,-120.2232462
Hells Delight Valley,Basin,38.7026869,-120.2343578
Helm,Populated Place,36.5316159,-120.0982058
Helmke Pond,Lake,36.569942,-119.697783
Henness Pass,Gap,39.5026807,-120.4393752
Henry Peak,Summit,38.4864797,-119.8800183
Hidden Canyon,Valley,38.7731882,-119.876542
Hidden Lake,Lake,38.9866054,-120.1522629
Hidden Lake,Lake,39.0037827,-120.2801308
Hidden Lake,Lake,37.2491553,-118.9849774
High Loch Leven Lake,Lake,39.2863307,-120.4970156
High Mountain,Summit,38.1694766,-120.5102534
Highland Creek,Stream,38.4035242,-120.0893548
Highland Lake,Lake,38.9569244,-120.2416665
Highland Lakes,Lake,38.4918288,-119.8026169
Highland Peak,Summit,38.543624,-119.7555481
Hildreth Creek,Stream,36.9891145,-119.9337677
Hills Valley,Valley,36.6742,-119.3132919
Hilton Creek,Stream,37.5802101,-118.740683
Hiram Canyon,Valley,38.4430075,-119.8623768
Hiram Peak,Summit,38.477876,-119.8034158
Hobart Creek,Stream,38.3946348,-119.9957402
Hobler Lake,Lake,37.1337834,-118.9366746
Hoffman Mountain,Summit,36.988063,-118.9204321
Hoffs Gulch,Valley,37.4904675,-120.0186812
Hog Creek,Stream,36.8224503,-119.529299
Hog Mountain,Summit,36.8857769,-119.313295
Hog Mountain,Summit,37.8834819,-120.354305
Hogback Creek,Stream,36.681877,-118.1134235
Hogback Peak,Summit,36.8765682,-118.7115822
Mount Hogue,Summit,37.7321473,-118.3045466
Hole-In-Ground,Lake,39.3559366,-120.4191864
Holland Creek,Stream,36.7746721,-119.4309603
Home Spring,Spring,36.8737406,-119.5102014
Hopkins Pass,Gap,37.4807689,-118.8423467
Horse Canyon,Valley,38.5054346,-120.0493336
Horse Creek,Stream,37.3454982,-119.891553
Horsecamp Mountain,Summit,37.3288272,-119.8451482
Horseshoe Lake,Lake,38.9540879,-120.221477
Horsethief Canyon,Valley,38.7755902,-119.8807191
Hot Creek,Stream,38.3435263,-119.451276
Hot Creek,Stream,37.7082655,-118.7837422
Hot Springs,Spring,37.2344929,-118.8823928
Hot Springs Pass,Gap,37.1982776,-118.9951144
House Spring,Spring,36.526812,-119.122739
Hulbert Mountain,Summit,37.0554825,-119.6707727
Humbug Creek,Stream,37.4263288,-119.8771107
Humbug Gulch,Valley,38.363288,-120.5614669
Hummingbird Lake,Lake,37.9879936,-119.2856503
Hunter Creek,Stream,37.9263144,-120.2257442
Hunter Reservoir,Reservoir,38.2000176,-120.3595051
Hunters Spring,Spring,39.0968058,-120.3390442
Huntley Mill Lake,Lake,39.2683352,-120.4525692
Huntoon Creek,Stream,38.3093616,-119.3557159
Mount Hutchings,Summit,36.833244,-118.6007383
Ice Lake,Lake,38.114395,-119.4236842
Iceberg Peak,Summit,38.4503677,-119.8226461
